State,Assembly,Candidate,Party,Votes
Gujarat,Surendranagar,MAKWANA VASHARAMBHAI KARSHANBHAI,Independent,1413
Gujarat,Surendranagar,MAJETHIYA SAMARATBHAI JERAMBHAI,Hindustan Janta Party,1341
Gujarat,Surendranagar,CHAVDA PALABHAI NANJIBHAI,Independent,1227
Gujarat,Surendranagar,MAKWANA UKABHAI AMRABHAI,Independent,1226
Gujarat,Surendranagar,None of the Above,None of the Above,11024
Gujarat,Vadodara,NARENDRA MODI,Bharatiya Janata Party,845464
Gujarat,Vadodara,MISTRI MADHUSUDAN DEVRAM,Indian National Congress,275336
Gujarat,Vadodara,SUNIL DIGAMBAR KULKARNI,Aam Aadmi Party,10101
Gujarat,Vadodara,ROHIT MADHUSUDAN MOHANBHAI,Bahujan Samaj Party,5782
Gujarat,Vadodara,TAPAN DASGUPTA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2249
Gujarat,Vadodara,PATHAN SAHEBKHAN ASIFKHAN,Samajwadi Party,2101
Gujarat,Vadodara,JADAV AMBALAL KANABHAI,Janata Dal (United),1382
Gujarat,Vadodara,PATHAN MAHEMUDKHAN RAZAKKHAN,Apna Desh Party,1109
Gujarat,Vadodara,None of the Above,None of the Above,18053
Gujarat,Valsad,DR. K.C.PATEL,Bharatiya Janata Party,617772
Gujarat,Valsad,KISHANBHAI VESTABHAI PATEL,Indian National Congress,409768
Gujarat,Valsad,THAKRIYA RATILAL VAJIRBHAI,Bahujan Samaj Party,14202
Gujarat,Valsad,PATEL BUDHABHAI RANCHHODBHAI,Independent,12757
Gujarat,Valsad,GAURANGBHAI RAMESHBHAI PATEL,Hindustan Janta Party,11372
Gujarat,Valsad,VADIA LAXMANBHAI CHHAGANBHAI,Communist Party of India (Marxist-Leninist) (Liberation),9702
Gujarat,Valsad,PATEL GOVINDBHAI RANCHHODBHAI,Aam Aadmi Party,8047
Gujarat,Valsad,DR.PANKAJKUMAR PARBHUBHAI PATEL,Aadivasi Sena Party,6028
Gujarat,Valsad,PATEL SHAILESHBHAI GANDABHAI,Janata Dal (United),2982
Gujarat,Valsad,TALAVIYA BABUBHAI CHHAGANBHAI,Bahujan Mukti Party,2967
Gujarat,Valsad,None of the Above,None of the Above,26606
Haryana,Ambala,RATTAN LAL KATARIA,Bharatiya Janata Party,612121
Haryana,Ambala,RAJ KUMAR BALMIKI,Indian National Congress,272047
Haryana,Ambala,DR. KUSUM SHERWAL,Indian National Lok Dal,129571
Haryana,Ambala,DR. KAPOOR SINGH,Bahujan Samaj Party,102627
Haryana,Ambala,SURINDER PAL SINGH,Aam Aadmi Party,63626
Haryana,Ambala,ARUN KUMAR,Communist Party of India,11123
Haryana,Ambala,BHUPINDER KUMAR,Independent,3765
Haryana,Ambala,RAJENDER KUMAR BHATAULI,Bhartiya Shakti Chetna Party,3432
Haryana,Ambala,BHURA RAM,Independent,3388
Haryana,Ambala,PHOOL CHAND RATTUWALA,Independent,3095
Haryana,Ambala,RAMESH CHAND,Independent,2715
Haryana,Ambala,ISHWAR SINGH,Independent,1446
Haryana,Ambala,RAM JAWARI,Rashtriya Karmyog Party,1290
Haryana,Ambala,GURNAM SINGH,Independent,933
Haryana,Ambala,None of the Above,None of the Above,7816
Haryana,Bhiwani-Mahendragarh,DHARAMBIR S/O BHALE RAM,Bharatiya Janata Party,404542
Haryana,Bhiwani-Mahendragarh,BAHADUR SINGH,Indian National Lok Dal,275148
Haryana,Bhiwani-Mahendragarh,SHRUTI CHOUDHRY,Indian National Congress,268115
Haryana,Bhiwani-Mahendragarh,VED PAL TANWAR,Bahujan Samaj Party,27834
Haryana,Bhiwani-Mahendragarh,LALIT AGGARWAL,Aam Aadmi Party,22200
Haryana,Bhiwani-Mahendragarh,LAL CHAND,Republican Backward Congress,6265
Haryana,Bhiwani-Mahendragarh,MASTER SHER SINGH,Communist Party of India (Marxist),3441
Haryana,Bhiwani-Mahendragarh,PURAN MAL SHARMA,Independent,3195
Haryana,Bhiwani-Mahendragarh,NARENDER PICHOPA-KHURD,Independent,3151
Haryana,Bhiwani-Mahendragarh,DHARAMBIR SINGH,Independent,2357
Haryana,Bhiwani-Mahendragarh,OMBIR,Lok Parivartan Party(DC),1617
Haryana,Bhiwani-Mahendragarh,NARESH KUMAR,Samajwadi Party,1493
Haryana,Bhiwani-Mahendragarh,PARDEEP SINGH TANWAR,Independent,1334
Haryana,Bhiwani-Mahendragarh,CHITTER SINGH BALI,Independent,1060
Haryana,Bhiwani-Mahendragarh,VEDPARKASH BHARTIYA,Independent,1020
Haryana,Bhiwani-Mahendragarh,DHARM BIR S/O HARI SINGH,Independent,995
Haryana,Bhiwani-Mahendragarh,SATPAL S/O SUBE,Independent,826
Haryana,Bhiwani-Mahendragarh,DHARAMBIR S/O BANWARI,Independent,708
Haryana,Bhiwani-Mahendragarh,RAJIV,Bahujan Mukti Party,603
Haryana,Bhiwani-Mahendragarh,SUDHIR CHANDWAS,Independent,523
Haryana,Bhiwani-Mahendragarh,MAHAVIR SINGH,Independent,393
Haryana,Bhiwani-Mahendragarh,SAMSER,National Loktantrik Party,391
Haryana,Bhiwani-Mahendragarh,SHER SINGH,Independent,361
Haryana,Bhiwani-Mahendragarh,SATPAL S/O LOKRAM,Independent,297
Haryana,Bhiwani-Mahendragarh,RAKESH KUMAR,Independent,293
Haryana,Bhiwani-Mahendragarh,SUKHBIR SINGH,Independent,275
Haryana,Bhiwani-Mahendragarh,None of the Above,None of the Above,1994
Haryana,Faridabad,KRISHAN PAL,Bharatiya Janata Party,652516
Haryana,Faridabad,AVTAR SINGH BHADANA,Indian National Congress,185643
Haryana,Faridabad,R K ANAND,Indian National Lok Dal,132472
Haryana,Faridabad,PURSHOTAM DAGAR,Aam Aadmi Party,67437
Haryana,Faridabad,PT. RAJENDER SHARMA,Bahujan Samaj Party,66000
Haryana,Faridabad,HAMID KHAN,Hindustan Kranti Dal,2762
Haryana,Faridabad,NANAK CHAND,Independent,2551
Haryana,Faridabad,DR. KSHETRA PAL SINGH,Independent,1943
Haryana,Faridabad,KHEME THAKUR,Samajwadi Party,1940
Haryana,Faridabad,MOHD. MUKIM,National Loktantrik Party,1735
Haryana,Faridabad,RAVINDER BHATI,Akhil Bharat Hindu Mahasabha,1689
Haryana,Faridabad,SANJAY MAURYA,Independent,1098
Haryana,Faridabad,SUKHVEER,Rashtriya Bahujan Congress Party,1082
Haryana,Faridabad,ADVOCATE KAMAL CHAND ARYA,Bahujan Mukti Party,967
Haryana,Faridabad,NIRMALA,Janata Dal (United),894
Haryana,Faridabad,CHAUDHARY DAYA CHAND,Bhartiya Shakti Chetna Party,711
Haryana,Faridabad,KHUSH DIL SEHGAL (KAPOOR),Akhil Bharatiya Hind Kranti Party,685
Haryana,Faridabad,AHERWAN DHARMENDER RAWAT,Independent,664
Haryana,Faridabad,LAXMAN,Independent,657
Haryana,Faridabad,MANDHEER SINGH MAAN,Independent,644
Haryana,Faridabad,KUSUM KUMARI,All India Peoples' Front (Radical),620
Haryana,Faridabad,SHUSHILA,Independent,525
Haryana,Faridabad,DEEPAK GAUR,AARAKSHAN VIRODHI PARTY,479
Haryana,Faridabad,MUKESH KUMAR SINGH,Independent,442
Haryana,Faridabad,LALIT MITTAL,Independent,420
Haryana,Faridabad,RAJENDER,Independent,409
Haryana,Faridabad,VIJAY RAJ,Independent,407
Haryana,Faridabad,None of the Above,None of the Above,3334
Haryana,Gurgaon,INDERJIT SINGH RAO,Bharatiya Janata Party,644780
Haryana,Gurgaon,ZAKIR HUSSAIN,Indian National Lok Dal,370058
Haryana,Gurgaon,RAO DHARAM PAL,Indian National Congress,133713
Haryana,Gurgaon,YOGENDRA YADAV,Aam Aadmi Party,79452
Haryana,Gurgaon,DHARAMPAL,Bahujan Samaj Party,65009
Haryana,Gurgaon,KUSHESHWAR BHAGAT,Independent,7821
Haryana,Gurgaon,FAUJI JAI KAWAR TYAGI DIXIT,Independent,3147
Haryana,Gurgaon,MANOJ YADAV,Independent,3043
Haryana,Gurgaon,AKBAR KASMI,Rashtriya Ulama Council,1429
Haryana,Gurgaon,HEMANT KUMAR SAINI,Bahujan Mukti Party,1153
Haryana,Gurgaon,MAHENDER JAT,Independent,1021
Haryana,Gurgaon,KARAN SINGH JOURNALIST,Independent,938
Haryana,Gurgaon,UMED SINGH,RASHTRIYA MORCHA PARTY,927
Haryana,Gurgaon,MUL CHAND,Independent,804
Haryana,Gurgaon,ASHOK BHARDWAJ,National Janhit Congress (AB),713
Haryana,Gurgaon,ABDUL LATIF,Independent,699
Haryana,Gurgaon,SURINDER KUMAR KHULLAR,Independent,686
Haryana,Gurgaon,RAJESH,Independent,566
Haryana,Gurgaon,OMBIR SHARMA,Independent,566
Haryana,Gurgaon,RAJEEV YADAV,Independent,493
Haryana,Gurgaon,USHA RANI VERMA,Independent,489
Haryana,Gurgaon,AHSHAN ALI,Independent,455
Haryana,Gurgaon,None of the Above,None of the Above,2657
Haryana,Hisar,DUSHYANT CHAUTALA,Indian National Lok Dal,494478
Haryana,Hisar,KULDEEP BISHNOI,Haryana Janhit Congress (BL),462631
Haryana,Hisar,SAMPAT SINGH,Indian National Congress,102509
Haryana,Hisar,MANGE RAM,Bahujan Samaj Party,30446
Haryana,Hisar,DR. YUDHBIR SINGH KHYALIA,Aam Aadmi Party,28490
Haryana,Hisar,PHUL SINGH,Communist Party of India (Marxist),6533
Haryana,Hisar,KULDEEP S/O NARAIN SINGH,Independent,5251
Haryana,Hisar,KULDEEP S/O PARDUMN,Independent,2587
Haryana,Hisar,KULDEEP S/O KARAN SINGH,Independent,1886
Haryana,Hisar,VIJAY KUMAR SHARMA,Independent,1788
Haryana,Hisar,DR. RAJESH MAHENDIA,Independent,1723
Haryana,Hisar,OM PARKASH,Bharatiya Sant Mat Party,1471
Haryana,Hisar,KULDEEP S/O ISHWAR SINGH,Independent,1242
Haryana,Hisar,MAMTA RANI,"Rashtrawadi Parivartan Party (L.B,)",1195
Haryana,Hisar,KARTAR SINGH,Independent,1143
Haryana,Hisar,VISHNU KUMAR,Independent,1048
Haryana,Hisar,KULDEEP S/O MADAN LAL,Independent,959
Haryana,Hisar,KULDEEP SINGH S/O SHISHPAL,Bahujan Mukti Party,705
Haryana,Hisar,SUSHIL KAUSHIK,Independent,700
Haryana,Hisar,VIKAS,Independent,684
Haryana,Hisar,RAJ SINGH,Independent,600
Haryana,Hisar,NARESH BATRA,Independent,587
Haryana,Hisar,RAM PHAL,Independent,463
Haryana,Hisar,SHIV KUMAR,Independent,447
Haryana,Hisar,NARENDER,Independent,408
Haryana,Hisar,KULDEEP S/O SAJJAN,Independent,395
Haryana,Hisar,NARINDER KUMAR,Independent,388
Haryana,Hisar,SHRAVAN KUMAR ASIJA,Independent,371
Haryana,Hisar,SATBIR,Independent,363
Haryana,Hisar,UMED SINGH,Independent,342
Haryana,Hisar,ARUN KUMAR,Independent,307
Haryana,Hisar,ATAM PARKASH,Independent,300
Haryana,Hisar,SUSHIL NIDHI,Independent,273
Haryana,Hisar,RAJ KUMAR,Independent,255
Haryana,Hisar,HANSRAJ,Independent,245
Haryana,Hisar,BALWAN SINGH,Independent,213
Haryana,Hisar,BALJEET,Independent,208
Haryana,Hisar,YUDHVIR,Independent,197
Haryana,Hisar,RAKESH KUMAR (RINKU BHAI),Independent,176
Haryana,Hisar,SUNDER,Independent,134
Haryana,Hisar,SITA RAM,Independent,128
Haryana,Hisar,None of the Above,None of the Above,1645
Haryana,Karnal,ASHWINI KUMAR,Bharatiya Janata Party,594817
Haryana,Karnal,ARVIND KUMAR SHARMA,Indian National Congress,234670
Haryana,Karnal,JASWINDER SINGH SANDHU,Indian National Lok Dal,187902
Haryana,Karnal,MARATHA VIRENDER VERMA,Bahujan Samaj Party,102628
Haryana,Karnal,PARAMJIT SINGH,Aam Aadmi Party,32060
Haryana,Karnal,MAM CHAND,Communist Party of India,10945
Haryana,Karnal,JAGDISH,Independent,3442
Haryana,Karnal,JAGBIR SINGH RANA,Independent,2775
Haryana,Karnal,MAHMOOD HASSAN,Independent,2723
Haryana,Karnal,PALE RAM KASHYAP,Rashtriya Janshakti Party(Eklavya),2654
Haryana,Karnal,RAJESH KUMAR,Independent,1937
Haryana,Karnal,KISMAT SHARMA,Independent,1757
Haryana,Karnal,SHASHI SAINI,Independent,1544
Haryana,Karnal,SAVITRI,Independent,1468
Haryana,Karnal,ASHISH,All India Forward Bloc,1314
Haryana,Karnal,MAHINDER PAL,Independent,1276
Haryana,Karnal,ARVIND TIWARI,Independent,1260
Haryana,Karnal,DULI CHAND,Lok Parivartan Party(DC),1144
Haryana,Karnal,RAMPHAL SHARMA,Independent,940
Haryana,Karnal,KHATAB SINGH MOR,Bhartiya Shakti Chetna Party,885
Haryana,Karnal,PURAN SINGH PANWAR,Rashtravadi Janata Party,865
Haryana,Karnal,DAVINDER SHARMA,Rashtriya Karmyog Party,806
Haryana,Karnal,DEVENDER JAGLAN,Republican Party of India (A),759
Haryana,Karnal,None of the Above,None of the Above,2929
Haryana,Kurukshetra,RAJ KUMAR SAINI,Bharatiya Janata Party,418112
Haryana,Kurukshetra,BALBIR SINGH SAINI,Indian National Lok Dal,288376
Haryana,Kurukshetra,NAVEEN JINDAL,Indian National Congress,287722
Haryana,Kurukshetra,CHATTAR SINGH,Bahujan Samaj Party,68926
Haryana,Kurukshetra,BALWINDER KAUR,Aam Aadmi Party,32554
Haryana,Kurukshetra,RAJ KUMAR SAINI,Independent,6061
Haryana,Kurukshetra,JASVINDER JASHT BHUKHRI,Independent,3887
Haryana,Kurukshetra,ASHWANI MALHOTRA,All India Trinamool Congress,3251
Haryana,Kurukshetra,CHUNI MANOJ KUMAR,Independent,2770
Haryana,Kurukshetra,RANBIR SINGH SHARMA,Independent,2765
Haryana,Kurukshetra,RAMESHWAR KUMAR SAINI,Bhartiya Shakti Chetna Party,2344
Haryana,Kurukshetra,VISHNU BHAGWAN AGGARWAL,Independent,2083
Haryana,Kurukshetra,DAVINDER KUMAR,Independent,2041
Haryana,Kurukshetra,MASTER DHARAMPAL DHIMAN BRAHAMAN,Independent,1994
Haryana,Kurukshetra,KULDEEP SINGH MALLHI,Republican Party of India,1665
Haryana,Kurukshetra,RAM KISHAN,Lok Parivartan Party(DC),1635
Haryana,Kurukshetra,ANIL KUMAR,Independent,1593
Haryana,Kurukshetra,KANTA ALLARIA,Indian Bahujan Sandesh Party (Kanshiram),1534
Haryana,Kurukshetra,ONKAR SINGH,National Janhit Congress (AB),1483
Haryana,Kurukshetra,GURMEET SINGH,Lok Dal,1092
Haryana,Kurukshetra,KIRAN PAL,Bharatiya Inqalab Party,762
Haryana,Kurukshetra,CA. SATISH SINGAL,Independent,760
Haryana,Kurukshetra,None of the Above,None of the Above,2482
Haryana,Rohtak,DEEPENDER SINGH HOODA,Indian National Congress,490063
Haryana,Rohtak,OM PARKASH DHANKAR,Bharatiya Janata Party,319436
Haryana,Rohtak,SHAMSHER SINGH KHARKARA,Indian National Lok Dal,151120
Haryana,Rohtak,NAVEEN JAIHIND,Aam Aadmi Party,46759
Haryana,Rohtak,MANOJ KUMAR,Bahujan Samaj Party,18690
Haryana,Rohtak,VISHNU DUTT,Independent,3151
Haryana,Rohtak,JAI KARAN MANDAUTHI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2497
Haryana,Rohtak,SATPAL,Independent,2449
Haryana,Rohtak,SAJJAN SINGH,Independent,2032
Haryana,Rohtak,SUNIL KUMAR,All India Trinamool Congress,947
Haryana,Rohtak,ANIL,Rashtriya Bahujan Hitay Party,829
Haryana,Rohtak,JAI SINGH,Independent,614
Haryana,Rohtak,RAVINDER KUMAR,Indian Bahujan Sandesh Party (Kanshiram),418
Haryana,Rohtak,KARAN SINGH,Independent,394
Haryana,Rohtak,None of the Above,None of the Above,4932
Haryana,Sirsa,CHARANJEET SINGH RORI,Indian National Lok Dal,506370
Haryana,Sirsa,ASHOK TANWAR,Indian National Congress,390634
Haryana,Sirsa,DR. SUSHIL INDORA,Haryana Janhit Congress (BL),241067
Haryana,Sirsa,POONAM CHAND RATTI,Aam Aadmi Party,66844
Haryana,Sirsa,MANGERAM,Bahujan Samaj Party,20750
Haryana,Sirsa,COMRADE RAM KUMAR,Communist Party of India (Marxist),11194
Haryana,Sirsa,RANVIR KHOBRA,Independent,7308
Haryana,Sirsa,RAJBIR PALNA,Independent,5636
Haryana,Sirsa,RAJ KUMAR NAGAR,Samajwadi Party,4208
Haryana,Sirsa,MEWA SINGH,Independent,4136
Haryana,Sirsa,SURENDER KUMAR (URF) MENPAL PHOOLA,Independent,3432
Haryana,Sirsa,HANSRAJ HANSA,Jan Morcha,2901
Haryana,Sirsa,SANJIV BHOJRAJ,VANCHITSAMAJ INSAAF PARTY,2350
Haryana,Sirsa,BALWANT SINGH,Bharatiya Sant Mat Party,2201
Haryana,Sirsa,JAGDISH,Independent,2145
Haryana,Sirsa,JAIPAL BHATTI,Independent,1365
Haryana,Sirsa,MANJEET SINGH,Independent,1334
Haryana,Sirsa,FAKIR CHAND,Independent,1197
Haryana,Sirsa,None of the Above,None of the Above,4033
Haryana,Sonipat,RAMESH CHANDER,Bharatiya Janata Party,347203
Haryana,Sonipat,JAGBIR SINGH MALIK,Indian National Congress,269789
Haryana,Sonipat,PADAM SINGH,Indian National Lok Dal,264404
Haryana,Sonipat,JAI SINGH,Aam Aadmi Party,48597
Haryana,Sonipat,SUMAN SINGH,Bahujan Samaj Party,24103
Haryana,Sonipat,SUKHBIR SINGH,Independent,5533
Haryana,Sonipat,RAMESH,Independent,4405
Haryana,Sonipat,SANJAY,Independent,3950
Haryana,Sonipat,BHUPESHWAR DAYAL,Independent,2525
Haryana,Sonipat,MANOJ KUMAR,Independent,2417
Haryana,Sonipat,HARI PARKASH COMRADE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1757
Haryana,Sonipat,PADAM SINGH,Independent,1375
Haryana,Sonipat,BIJENDER KUMAR,Independent,965
Haryana,Sonipat,SANT DHARAMVIR CHOTIWALA,Independent,943
Haryana,Sonipat,GULAB SINGH,Poorvanchal Rashtriya Congress,916
Haryana,Sonipat,SITENDER SINGH,Independent,899
Haryana,Sonipat,DALBIR SINGH CHAHAL,Rashtravadi Janata Party,671
Haryana,Sonipat,JASWANT,Independent,656
Haryana,Sonipat,SATYA NARAYAN,Independent,550
Haryana,Sonipat,ASHOK KUMAR VASHISHTH,Republican Party of India (A),492
Haryana,Sonipat,ANIL KUMAR,Rashtriya Bahujan Hitay Party,468
Haryana,Sonipat,JAGBIR,Independent,357
Haryana,Sonipat,ANUP SING DAHIYA,Rashtriya Jatigat Aarakshan Virodhi Party,259
Haryana,Sonipat,None of the Above,None of the Above,2403
Himachal Pradesh,Hamirpur,ANURAG SINGH THAKUR,Bharatiya Janata Party,448035
Himachal Pradesh,Hamirpur,RAJINDER SINGH RANA,Indian National Congress,349632
Himachal Pradesh,Hamirpur,KAMAL KANTA BATRA,Aam Aadmi Party,15329
Himachal Pradesh,Hamirpur,RAKESH CHOUDHARY,Bahujan Samaj Party,5827
Himachal Pradesh,Hamirpur,RAJINDER SINGH RANA,Independent,3687
Himachal Pradesh,Hamirpur,URMILA SHARMA,Samajwadi Party,2328
Himachal Pradesh,Hamirpur,DEV RAJ BHARDWAJ,Independent,1692
Himachal Pradesh,Hamirpur,SHIV DUTT VASISHT,Shivsena,952
Himachal Pradesh,Hamirpur,AMIN CHAND,Independent,647
Himachal Pradesh,Hamirpur,ASHISH KUMAR,Independent,603
Himachal Pradesh,Hamirpur,None of the Above,None of the Above,6473
Himachal Pradesh,Kangra,SHANTA KUMAR,Bharatiya Janata Party,456163
Himachal Pradesh,Kangra,CHANDER KUMAR,Indian National Congress,286091
Himachal Pradesh,Kangra,DR. RAJAN SUSHANT,Aam Aadmi Party,24430
Himachal Pradesh,Kangra,LAL HUSSAIN,Bahujan Samaj Party,5949
Himachal Pradesh,Kangra,BHUPINDER MEHRA,Independent,5585
Himachal Pradesh,Kangra,PREM CHAND VISHVAKARMA,Independent,4106
Himachal Pradesh,Kangra,ARTI SONI,Shivsena,3757
Himachal Pradesh,Kangra,DR. ATUL THAKUR BHARMORI,Independent,1133
Himachal Pradesh,Kangra,DHANI RAM,Independent,1085
Himachal Pradesh,Kangra,BALDEV RAJ,Himachal Swabhiman Party,997
Himachal Pradesh,Kangra,PARVESH YADAV,Samajwadi Party,808
Himachal Pradesh,Kangra,RAMAN KUMAR,Bahujan Mukti Party,637
Himachal Pradesh,Kangra,None of the Above,None of the Above,8704
Himachal Pradesh,Mandi,RAM SWAROOP SHARMA,Bharatiya Janata Party,362824
Himachal Pradesh,Mandi,PRATIBHA SINGH,Indian National Congress,322968
Himachal Pradesh,Mandi,KUSHAL BHARDWAJ,Communist Party of India (Marxist),13965
Himachal Pradesh,Mandi,JAI CHAND THAKUR,Aam Aadmi Party,9359
Himachal Pradesh,Mandi,LALA RAM,Bahujan Samaj Party,5167
Himachal Pradesh,Mandi,SUBHASH MOHAN SNEHI,Independent,1928
Himachal Pradesh,Mandi,BHAG CHAND RANA,Independent,1868
Himachal Pradesh,Mandi,PUNI CHAND,Samajwadi Party,923
Himachal Pradesh,Mandi,DEVENDER DEV,Bahujan Mukti Party,901
Himachal Pradesh,Mandi,None of the Above,None of the Above,6191
Himachal Pradesh,Shimla,VIRENDER KASHYAP,Bharatiya Janata Party,385973
Himachal Pradesh,Shimla,MOHAN LAL BRAKTA,Indian National Congress,301786
Himachal Pradesh,Shimla,SUBHASH CHANDER,Aam Aadmi Party,14233
Himachal Pradesh,Shimla,JAGAT RAM,Communist Party of India (Marxist),11434
Himachal Pradesh,Shimla,VIRENDER KUMAR KASHYAP,Independent,6173
Himachal Pradesh,Shimla,GURNAM SINGH KOLI,Bahujan Samaj Party,5985
Himachal Pradesh,Shimla,SHURVEER SINGH,Samajwadi Party,4385
Himachal Pradesh,Shimla,None of the Above,None of the Above,7788
Jammu & Kashmir,Anantnag,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,200429
Jammu & Kashmir,Anantnag,MIRZA MEHBOOB BEG,Jammu & Kashmir National Conference,135012
Jammu & Kashmir,Anantnag,TANVEER HUSSAIN KHAN,Independent,7340
Jammu & Kashmir,Anantnag,MUSHTAQ AHMAD MALIK,Bharatiya Janata Party,4720
Jammu & Kashmir,Anantnag,SYED ABID AHMAD SHAH,Jammu & Kashmir National Panthers Party,4345
Jammu & Kashmir,Anantnag,ABDUL AHAD MIR,Independent,3439
Jammu & Kashmir,Anantnag,MOHAMMAD SHARIF,Bahujan Samaj Party,3312
Jammu & Kashmir,Anantnag,MOHD YOUSIF GANIE,Ambedkar Samaj Party,3286
Jammu & Kashmir,Anantnag,DR. TANVIR MAQBOOL DAR,Aam Aadmi Party,3252
Jammu & Kashmir,Anantnag,GH. NABI SHAH,Samajwadi Party,1837
Jammu & Kashmir,Anantnag,MOHAMMAD YAQOOB RATHER,All Jammu and Kashmir Republican Party,1568
Jammu & Kashmir,Anantnag,ASIF JEELANI,All India Forward Bloc,803
Jammu & Kashmir,Anantnag,None of the Above,None of the Above,5936
Jammu & Kashmir,Baramulla,MUZAFFAR HUSSAIN BAIG,Jammu & Kashmir Peoples Democratic Party,175277
Jammu & Kashmir,Baramulla,SHARIEF UD-DIN SHARIQ,Jammu & Kashmir National Conference,146058
Jammu & Kashmir,Baramulla,SALAMUDDIN BAJAD,Jammu & Kashmir People Conference,71154
Jammu & Kashmir,Baramulla,ER. ABDUL RASHID SHEIKH,Independent,22090
Jammu & Kashmir,Baramulla,ABDUL HUSSAIN,Independent,7301
Jammu & Kashmir,Baramulla,GHULAM MOHAMMAD MIR,Bharatiya Janata Party,6558
Jammu & Kashmir,Baramulla,TANVEER HUSSAIN,Independent,5788
Jammu & Kashmir,Baramulla,AYAZ AHMAD SOFI,Gareeb Aadmi Party,5566
Jammu & Kashmir,Baramulla,SYED MOHD RAFIQ SHAH,Jammu & Kashmir National Panthers Party,4141
Jammu & Kashmir,Baramulla,MOHD ABDULLAH CHATWAL,Independent,4006
Jammu & Kashmir,Baramulla,AB. HAMID MALIK,Independent,3655
Jammu & Kashmir,Baramulla,MOHD SHAFI BHAT,Bahujan Samaj Party,3143
Jammu & Kashmir,Baramulla,BASHIR AHMAD JAGAL,Prism,2694
Jammu & Kashmir,Baramulla,NISAR AHMAD AHANGER,Independent,2050
Jammu & Kashmir,Baramulla,ASHIQ HUSSAIN GANIE,Independent,1943
Jammu & Kashmir,Baramulla,None of the Above,None of the Above,4568
Jammu & Kashmir,Jammu,JUGAL KISHORE,Bharatiya Janata Party,619995
Jammu & Kashmir,Jammu,MADAN LAL SHARMA,Indian National Congress,362715
Jammu & Kashmir,Jammu,YASHPAL SHARMA,Jammu & Kashmir Peoples Democratic Party,168554
Jammu & Kashmir,Jammu,ASHOK KUMAR,Bahujan Samaj Party,31199
Jammu & Kashmir,Jammu,HARI CHAND JALMERIA,Jammu & Kashmir National Panthers Party,9071
Jammu & Kashmir,Jammu,MOHD. IMTIAZ,Independent,7423
Jammu & Kashmir,Jammu,PERSEEN SINGH,Independent,7173
Jammu & Kashmir,Jammu,GURSAGAR SINGH,Socialistic Democratic Party,6042
Jammu & Kashmir,Jammu,NIRMAL SINGH,Independent,5286
Jammu & Kashmir,Jammu,VIJAY KUMAR,Independent,5125
Jammu & Kashmir,Jammu,LABHA RAM,Independent,5046
Jammu & Kashmir,Jammu,ABDUL MAJID CHOUHAN,Independent,4177
Jammu & Kashmir,Jammu,BAHADUR SINGH CHOWDHARY,Samajwadi Party,3164
Jammu & Kashmir,Jammu,RAJ KUMAR,Independent,2991
Jammu & Kashmir,Jammu,ASHOK KUMAR SHARMA,Independent,2582
Jammu & Kashmir,Jammu,MOHD. ABBAS KHAN,Independent,2469
Jammu & Kashmir,Jammu,SUBASH CHANDER,All J & K Kisan Majdoor Party,2205
Jammu & Kashmir,Jammu,MEHAR MANAV BHAGAT,Bharatiya Bahujan Party,2013
Jammu & Kashmir,Jammu,SATISH POONCHI,Independent,1981
Jammu & Kashmir,Jammu,None of the Above,None of the Above,4382
Jammu & Kashmir,Ladakh,THUPSTAN CHHEWANG,Bharatiya Janata Party,31111
Jammu & Kashmir,Ladakh,GHULAM RAZA,Independent,31075
Jammu & Kashmir,Ladakh,SYED MOHD KAZIM,Independent,28234
Jammu & Kashmir,Ladakh,TSERING SAMPHEL,Indian National Congress,26402
Jammu & Kashmir,Ladakh,None of the Above,None of the Above,1207
Jammu & Kashmir,Srinagar,TARIQ HAMEED KARRA,Jammu & Kashmir Peoples Democratic Party,157923
Jammu & Kashmir,Srinagar,FAROOQ ABDULLAH,Jammu & Kashmir National Conference,115643
Jammu & Kashmir,Srinagar,AGA SYED MOHSIN,Independent,16050
Jammu & Kashmir,Srinagar,FAYAZ AHMAD BHAT,Bharatiya Janata Party,4467
Jammu & Kashmir,Srinagar,DR RAJA MUZAFFAR BHAT,Aam Aadmi Party,3271
Jammu & Kashmir,Srinagar,MIRZA SAJAD HUSSAIN BEIGH,Independent,2802
Jammu & Kashmir,Srinagar,ABDUL RASHID TANTRAY,Independent,1668
Jammu & Kashmir,Srinagar,BASHIR MOHD RESHI,Independent,1215
Jammu & Kashmir,Srinagar,MOHAMMAD SHAFI GUROO,Independent,1157
Jammu & Kashmir,Srinagar,RABIA ALTAF,Independent,864
Jammu & Kashmir,Srinagar,CHETAN SHARMA,Independent,608
Jammu & Kashmir,Srinagar,MOHAMMAD MAQBOOL MALIK,Jammu & Kashmir National Panthers Party,583
Jammu & Kashmir,Srinagar,MUSHTAQ SHAMIM,Akhil Bharatiya Muslim League (Secular),521
Jammu & Kashmir,Srinagar,RIYAZ AHMAD WANI,Independent,461
